conversation_id,ollama_rouge1_f1,ollama_rouge2_f1,ollama_rougeL_f1,tfidf_rouge1_f1,tfidf_rouge2_f1,tfidf_rougeL_f1
cl8at,0.48464163822525597,0.4702665755297335,0.4819112627986347,0.9584775086505191,0.9584415584415583,0.9584775086505191
clcgf,0.20465116279069767,0.1936685288640596,0.16651162790697677,0.9673366834170855,0.9673202614379084,0.9673366834170855
clhma,0.266078184110971,0.2537878787878788,0.2547288776796974,0.9497400346620449,0.9497051682275407,0.9497400346620449
cmat3,0.5199761478831246,0.5014925373134328,0.4770423375074537,0.9615832363213038,0.9615533980582524,0.9615832363213038
cmb29,0.39662994167206744,0.381570408825438,0.3927414128321452,0.9731649565903709,0.9731437598736178,0.9731649565903709
cmgap,0.2198429693076374,0.20729092208720515,0.21127765881513205,0.9658119658119658,0.9657853810264386,0.9658119658119658
cmmqc,0.29731589814177567,0.2866988283942109,0.2684101858224364,0.9678431372549019,0.967817896389325,0.9678431372549019
cmu5s,0.4349355216881594,0.4143192488262911,0.43141852286049237,0.966993108451215,0.9669691470054447,0.966993108451215
cnd1y,0.24495476687543494,0.23135888501742163,0.23382045929018794,0.962763915547025,0.9627353054168267,0.962763915547025
cnd3k,0.2264150943396227,0.21942446043165467,0.22551662174303683,0.9554263565891472,0.9554047503635482,0.9554263565891472
cnme0,0.2220936957779063,0.21077012159814706,0.21862348178137653,0.9545737398879901,0.9545454545454545,0.9545737398879901
cnzj1,0.23465507876154265,0.22620989668297986,0.23248234655078767,0.9544251690679212,0.9543983524566049,0.9544251690679212
cqbml,0.239422084623323,0.22727272727272727,0.23116615067079466,0.9653409090909091,0.9653212052302445,0.9653409090909091
cqrdq,0.22375215146299482,0.21360895779500433,0.21858864027538727,0.9666979362101313,0.9666823087752229,0.9666979362101313
cqzx5,0.1701534170153417,0.15502793296089387,0.16457461645746166,0.9775784753363228,0.9775617053103964,0.9775784753363228
cs33k,0.25343953656770457,0.23930384336475713,0.24619840695148443,0.973257698541329,0.9732360097323601,0.973257698541329
csg5y,0.37848101265822787,0.36755386565272496,0.3708860759493671,0.9670579326012874,0.967032967032967,0.9670579326012874
cspo3,0.39272175890826383,0.36902050113895213,0.36846095526914324,0.9624542124542125,0.9624197983501376,0.9624542124542125
cteoi,0.3084185680566483,0.29472025216706066,0.3036978756884343,0.9533954727030626,0.9533540648600621,0.9533954727030626
ctfyd,0.13559322033898308,0.12725344644750794,0.12076271186440678,0.969060773480663,0.9690436705362079,0.969060773480663
cti7d,0.2679814385150812,0.2450638792102207,0.25174013921113686,0.9582929194956353,0.9582659333549014,0.9582929194956353
ctkqk,0.2770611329220415,0.2594048287478944,0.27033090297251827,0.9672337744171393,0.9672131147540983,0.9672337744171393
cu41u,0.23032829598749346,0.19822639540949397,0.21469515372589892,0.9524345623416831,0.9524077724584624,0.9524345623416831
cu5ye,0.3606398448860882,0.3493449781659389,0.35579253514299564,0.970308446238109,0.9702913181424863,0.970308446238109
cu7fb,0.14021790620558974,0.13181602655286864,0.13548081477972523,0.967869500741473,0.9678536102868447,0.967869500741473
cubvt,0.16666666666666663,0.15948670944087995,0.16391941391941392,0.9640183530548178,0.9640009664170089,0.9640183530548178
cuehj,0.19128113879003558,0.17898486197684776,0.18149466192170818,0.9675727229375298,0.9675572519083969,0.9675727229375298
cuinz,0.22123893805309733,0.19712070874861573,0.18805309734513276,0.961203007518797,0.9611796569365032,0.961203007518797
cumue,0.18315617334423548,0.16707616707616707,0.17007358953393295,0.9671772428884026,0.9671484888304863,0.9671772428884026
ny7ew,0.49209409949865024,0.479351601698186,0.4882375626687235,0.966798810703667,0.9667823500247893,0.966798810703667
nye9v,0.3673659673659674,0.35744283714419034,0.36643356643356645,0.9609890109890109,0.9609675645959318,0.9609890109890109
nykuk,0.25761772853185594,0.24271844660194172,0.25069252077562326,0.9621125143513204,0.9620834929145922,0.9621125143513204
nyrj5,0.3457095709570957,0.33608587943848056,0.3424092409240924,0.9669162038155036,0.9669002174438269,0.9669162038155036
nyrtv,0.22437449556093622,0.2053354890864996,0.2098466505246166,0.971149578339991,0.9711239449133718,0.971149578339991
nysbq,0.28624305983960524,0.27671402100061765,0.2776064157927205,0.9617258176757132,0.9616991643454039,0.9617258176757132
nytq0,0.3935091277890467,0.3715736040609137,0.38539553752535494,0.964821046191496,0.9647995102540556,0.964821046191496
nyywo,0.41263372389200204,0.3997960224375318,0.3993886907794193,0.9700934579439252,0.970074812967581,0.9700934579439252
nz35r,0.2050790608528989,0.19472422062350123,0.19645424053665544,0.9729307652264446,0.9729166666666667,0.9729307652264446
nzejf,0.27731092436974786,0.26603575184016826,0.25945378151260506,0.9661066902446213,0.9660867000884694,0.9661066902446213
nzh6y,0.3070382616910723,0.29976359338061465,0.30420406235238545,0.9652197357778377,0.9652009711356893,0.9652197357778377
nzn0l,0.23202416918429003,0.21778584392014516,0.21389728096676736,0.95884096147514,0.9588138385502472,0.95884096147514
nzq1c,0.3315436241610738,0.3225806451612903,0.3302013422818792,0.9706687524442706,0.9706457925636007,0.9706687524442706
nzq2f,0.25786924939467315,0.24727272727272728,0.2542372881355932,0.9709066305818674,0.970886932972241,0.9709066305818674
nzr0l,0.35439360929557007,0.3418181818181818,0.3514887436456064,0.9724849527085125,0.972461273666093,0.9724849527085125
nzvd8,0.2272159800249688,0.20625,0.215980024968789,0.9634687606691704,0.9634437991117184,0.9634687606691704
o005h,0.17832167832167833,0.1373578302712161,0.14423076923076922,0.9615562760537286,0.9615384615384615,0.9615562760537286
o01fu,0.2593905031892275,0.24130589070262595,0.24805102763997167,0.9697692919649961,0.9697452229299363,0.9697692919649961
o01mt,0.2478082992402104,0.22469280280866005,0.22910578609000584,0.974476439790576,0.9744597249508841,0.974476439790576
o0927,0.2997159090909091,0.2887624466571835,0.29829545454545453,0.9598393574297188,0.9598070739549839,0.9598393574297188
o09u3,0.38116591928251126,0.3689407540394973,0.37937219730941707,0.9608313349320543,0.9608104505465209,0.9608313349320543
o0de9,0.2099644128113879,0.19002375296912113,0.199288256227758,0.9667634720877702,0.9667420083952213,0.9667634720877702
o0m3z,0.2582123758594347,0.24024483550114767,0.241405653170359,0.9697228144989339,0.9696969696969697,0.9697228144989339
o0t3o,0.4319300164024056,0.4094143404488232,0.42755604155276106,0.9692255664524857,0.9692047377326566,0.9692255664524857
o0ul8,0.3026260942059192,0.2920317062995411,0.2551062942892872,0.9593764761454889,0.9593572778827977,0.9593764761454889
o0xxv,0.1931097008159565,0.18148820326678766,0.18313689936536717,0.9621909840038779,0.962172647914646,0.9621909840038779
o11ua,0.32108535895986434,0.30447085455574424,0.3063877897117015,0.9752883031301482,0.9752720079129574,0.9752883031301482
o156c,0.21484992101105846,0.20094936708860758,0.20537124802527645,0.9673258813413586,0.9672977624784854,0.9673258813413586
o193k,0.17029903699949317,0.1572805682394723,0.16218955904713636,0.9564986737400529,0.9564755838641188,0.9564986737400529
o1k1p,0.28298887122416533,0.27480106100795754,0.27556968733439324,0.9676064787042592,0.9675870348139256,0.9676064787042592
o1m8p,0.23502304147465436,0.2283737024221453,0.23271889400921658,0.9659090909090909,0.9658875552747946,0.9659090909090909
o1zod,0.29360694554064715,0.2624505928853755,0.26361483820047354,0.9737318840579711,0.9737080689029918,0.9737318840579711
o22w5,0.2777777777777778,0.2657601977750309,0.27654320987654324,0.9660194174757283,0.9659958362248438,0.9660194174757283
o277f,0.191145467322558,0.1773399014778325,0.1827125790583275,0.9749049429657795,0.9748858447488584,0.9749049429657795
o287u,0.212259835315645,0.19505494505494503,0.2049405306495883,0.9676777722526106,0.9676616915422885,0.9676777722526106
o2bm4,0.23185483870967738,0.22199798183652877,0.22782258064516128,0.967403314917127,0.9673852957435047,0.967403314917127
o2k05,0.2867340868530637,0.2668254913639071,0.2760261748958953,0.9659818120579319,0.9659588810246039,0.9659818120579319
o2lh7,0.4447086801426873,0.4355414518048393,0.4399524375743163,0.9681560108615156,0.9681402815510003,0.9681560108615156
o2mi5,0.47074646940147946,0.4579124579124579,0.46671149966375264,0.9826539462272333,0.982638888888889,0.9826539462272333
o2moh,0.21213840045377194,0.18852924474730268,0.20079410096426545,0.9457317073170731,0.9456985967053081,0.9457317073170731
o2prl,0.291196388261851,0.2824858757062147,0.2866817155756208,0.9716677398583387,0.9716494845360826,0.9716677398583387
o2xxx,0.30413454800280315,0.2919298245614035,0.29992992291520676,0.9672,0.967173738991193,0.9672
o2zr2,0.30188679245283023,0.27761627906976744,0.2931785195936139,0.9505920783993467,0.9505516959542297,0.9505920783993467
o31so,0.20129546586945693,0.18453865336658354,0.18734429496761335,0.9656468062265164,0.9656283566058002,0.9656468062265164
o36li,0.34095940959409593,0.32815964523281593,0.33505535055350555,0.9687771032090199,0.96875,0.9687771032090199
o378y,0.22189992748368384,0.2091503267973856,0.21609862218999276,0.9740725967291584,0.9740518962075848,0.9740725967291584
o3gjh,0.27627627627627627,0.2616541353383458,0.26576576576576577,0.9568857262452909,0.9568496020108923,0.9568857262452909
o3jd1,0.27389014296463504,0.26073850791258474,0.26335590669676445,0.9625578460244005,0.9625263157894738,0.9625578460244005
o3rb2,0.4055876685934489,0.3944069431051109,0.4017341040462429,0.9643899591360185,0.9643691588785047,0.9643899591360185
o3v6m,0.3254847645429363,0.31622746185852985,0.32409972299168976,0.9659591509811775,0.965931863727455,0.9659591509811775
o3xyx,0.30497794580970383,0.294006309148265,0.30497794580970383,0.9693029974720115,0.9692808095410191,0.9693029974720115
o401k,0.2713178294573643,0.2577639751552795,0.26201550387596895,0.9556225764756571,0.9555843035791289,0.9556225764756571
o40bn,0.3708399366085578,0.3532522474881015,0.36661384046487056,0.9731267783749605,0.9731097753875356,0.9731267783749605
o46y6,0.2556943423952976,0.24724061810154527,0.25422483468038204,0.9634146341463414,0.9633848657445078,0.9634146341463414
o4g3x,0.2625189681335357,0.24012158054711247,0.2534142640364188,0.967714528462192,0.967687074829932,0.967714528462192
o4l9g,0.20558202859087815,0.18541240627130195,0.1933287950987066,0.9693613879660391,0.9693387513852973,0.9693613879660391
o4tao,0.5518082080455099,0.5359902399349329,0.535554652580252,0.9462480042575838,0.9462193823216187,0.9462480042575838
o4v53,0.37288135593220334,0.35575109993714643,0.2787193973634651,0.9743975903614457,0.9743782969103241,0.9743975903614457
o4woz,0.3693379790940766,0.35729239357990233,0.35679442508710796,0.9701244813278008,0.9700996677740864,0.9701244813278008
o4y9g,0.4461269656377402,0.4408163265306122,0.4461269656377402,0.9668729523116126,0.9668488160291439,0.9668729523116126
o514z,0.48716343143393864,0.4702194357366771,0.4834063869755792,0.9678972712680578,0.9678714859437751,0.9678972712680578
o5dfo,0.21047917599641738,0.19632451815329446,0.19883564711150917,0.96996336996337,0.9699486928903005,0.96996336996337
o5e4i,0.2431800467653936,0.18110850897736144,0.21200311769290725,0.9489795918367347,0.948936170212766,0.9489795918367347
o5gef,0.16981962164540257,0.1602818141787759,0.16102067751869772,0.9671558350803634,0.9671405266837567,0.9671558350803634
o5kao,0.2388475836431227,0.22604651162790695,0.23327137546468402,0.9665218502427804,0.9665047302480184,0.9665218502427804
o5m8b,0.2409923213230951,0.21052631578947367,0.22327229769639692,0.9782321899736148,0.9782178217821783,0.9782321899736148
o5to3,0.3005635566687539,0.2871473354231975,0.2968065122103945,0.9688506981740065,0.968828376925833,0.9688506981740065
o5vgo,0.2781316348195329,0.26567481402763016,0.2717622080679406,0.9654556283502085,0.9654350417163289,0.9654556283502085
o5zv6,0.38871951219512196,0.38015267175572515,0.38414634146341464,0.9674162459843965,0.9673863114377583,0.9674162459843965
o61p9,0.29884105960264895,0.2891466445733223,0.29801324503311255,0.9670277908619878,0.9670122525918945,0.9670277908619878
o62hb,0.3126760563380282,0.29760225669957685,0.3126760563380282,0.9567654123298639,0.9567307692307692,0.9567654123298639
