conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cl8at,1.0,0.3844765342960289,0.5554106910039113,0.9976470588235294,0.3830171635049684,0.5535248041775457,1.0,0.3844765342960289,0.5554106910039113
clcgf,1.0,0.15584415584415584,0.2696629213483146,0.9732441471571907,0.15124740124740124,0.261808367071525,1.0,0.15584415584415584,0.2696629213483146
clhma,1.0,0.2773722627737226,0.43428571428571433,0.9868073878627969,0.2731921110299489,0.4279176201372997,1.0,0.2773722627737226,0.43428571428571433
cmat3,1.0,0.3470540758676352,0.5152786099460754,0.9883449883449883,0.34248788368336025,0.5086982603479303,1.0,0.3470540758676352,0.5152786099460754
cmb29,1.0,0.24655312246553124,0.3955757970071568,0.976897689768977,0.24025974025974026,0.3856677524429968,1.0,0.24655312246553124,0.3955757970071568
cmgap,1.0,0.2333065164923572,0.3783431180691455,0.9688581314878892,0.22544283413848631,0.3657740039190072,1.0,0.2333065164923572,0.3783431180691455
cmmqc,1.0,0.2860615883306321,0.4448645242596094,0.9943181818181818,0.28386050283860503,0.4416403785488959,1.0,0.2860615883306321,0.4448645242596094
cmu5s,1.0,0.20705176294073518,0.3430702299564947,0.9818181818181818,0.20270270270270271,0.33602986932171747,1.0,0.20705176294073518,0.3430702299564947
cnd1y,1.0,0.2759170653907496,0.4325,0.9855072463768116,0.2713487629688747,0.425531914893617,1.0,0.2759170653907496,0.4325
cnd3k,1.0,0.17697768762677485,0.3007324429125377,0.9741379310344828,0.1719939117199391,0.2923673997412678,1.0,0.17697768762677485,0.3007324429125377
cnme0,1.0,0.1864406779661017,0.3142857142857143,0.968421052631579,0.18003913894324852,0.3036303630363036,1.0,0.1864406779661017,0.3142857142857143
cnzj1,1.0,0.20579174368453482,0.34133878385283595,0.9819819819819819,0.20160295930949446,0.3345268542199488,1.0,0.20579174368453482,0.34133878385283595
cqbml,1.0,0.18304885226603884,0.3094527363184079,0.9774193548387097,0.1784452296819788,0.3017928286852589,1.0,0.18304885226603884,0.3094527363184079
cqrdq,1.0,0.14022319262493935,0.24595744680851064,0.9548611111111112,0.13349514563106796,0.23424190800681433,1.0,0.14022319262493935,0.24595744680851064
cqzx5,1.0,0.20795107033639143,0.34430379746835443,0.966789667896679,0.20045906656465187,0.3320659062103929,1.0,0.20795107033639143,0.34430379746835443
cs33k,1.0,0.2373022481265612,0.3835800807537012,0.9788732394366197,0.23166666666666666,0.3746630727762803,1.0,0.2373022481265612,0.3835800807537012
csg5y,1.0,0.29522317932654657,0.4558645707376058,0.9867021276595744,0.2907523510971787,0.4491525423728814,1.0,0.29522317932654657,0.4558645707376058
cspo3,1.0,0.42150333016175073,0.5930388219544847,0.9909502262443439,0.41714285714285715,0.5871313672922251,1.0,0.42150333016175073,0.5930388219544847
cteoi,1.0,0.25512104283054005,0.4065281899109793,0.9853479853479854,0.2506989748369059,0.399702823179792,1.0,0.25512104283054005,0.4065281899109793
ctfyd,1.0,0.17217787913340935,0.2937743190661478,0.9800664451827242,0.16828294352538506,0.28724440116845185,1.0,0.17217787913340935,0.2937743190661478
cti7d,1.0,0.31039136302294196,0.47373841400617916,0.9912854030501089,0.30722484807562456,0.46907216494845366,1.0,0.31039136302294196,0.47373841400617916
ctkqk,1.0,0.1771986970684039,0.3010514665190924,0.977859778597786,0.1727509778357236,0.2936288088642659,1.0,0.1771986970684039,0.3010514665190924
