conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cl8at,0.9943977591036415,0.3203971119133574,0.48464163822525597,0.9662921348314607,0.3107497741644083,0.4702665755297335,0.988795518207283,0.3185920577617328,0.4819112627986347
clcgf,0.9777777777777777,0.11428571428571428,0.20465116279069767,0.9285714285714286,0.10810810810810811,0.1936685288640596,0.7955555555555556,0.09298701298701299,0.16651162790697677
clhma,0.9768518518518519,0.15401459854014599,0.266078184110971,0.9348837209302325,0.1468224981738495,0.2537878787878788,0.9351851851851852,0.14744525547445256,0.2547288776796974
cmat3,0.9954337899543378,0.35189669087974174,0.5199761478831246,0.9610983981693364,0.3392568659127625,0.5014925373134328,0.91324200913242,0.3228410008071025,0.4770423375074537
cmb29,0.9870967741935484,0.24817518248175183,0.39662994167206744,0.9514563106796117,0.23863636363636365,0.381570408825438,0.9774193548387097,0.24574209245742093,0.3927414128321452
cmgap,0.9746835443037974,0.12389380530973451,0.2198429693076374,0.9235668789808917,0.11674718196457327,0.20729092208720515,0.9367088607594937,0.11906677393403058,0.21127765881513205
cmmqc,0.9863013698630136,0.17504051863857376,0.29731589814177567,0.9541284403669725,0.16869424168694241,0.2866988283942109,0.8904109589041096,0.1580226904376013,0.2684101858224364
cmu5s,0.9946380697050938,0.27831957989497375,0.4349355216881594,0.9489247311827957,0.265015015015015,0.4143192488262911,0.9865951742627346,0.2760690172543136,0.43141852286049237
cnd1y,0.9617486338797814,0.14035087719298245,0.24495476687543494,0.9120879120879121,0.13248204309656825,0.23135888501742163,0.9180327868852459,0.1339712918660287,0.23382045929018794
cnd3k,0.9921259842519685,0.12778904665314403,0.2264150943396227,0.9644268774703557,0.12379502790461694,0.21942446043165467,0.9881889763779528,0.12728194726166328,0.22551662174303683
cnme0,0.9846153846153847,0.12516297262059975,0.2220936957779063,0.9381443298969072,0.1187214611872146,0.21077012159814706,0.9692307692307692,0.12320730117340287,0.21862348178137653
cnzj1,0.9908256880733946,0.133086876155268,0.23465507876154265,0.9585253456221198,0.1282367447595561,0.22620989668297986,0.981651376146789,0.13185459026494148,0.23248234655078767
cqbml,0.9707112970711297,0.13655091230135374,0.239422084623323,0.9243697478991597,0.12956419316843346,0.22727272727272727,0.9372384937238494,0.1318422601530312,0.23116615067079466
cqrdq,0.9885931558935361,0.12615235322658905,0.22375215146299482,0.9465648854961832,0.1203883495145631,0.21360895779500433,0.9657794676806084,0.12324114507520621,0.21858864027538727
cqzx5,0.9682539682539683,0.09327217125382263,0.1701534170153417,0.888,0.08492731446059679,0.15502793296089387,0.9365079365079365,0.09021406727828746,0.16457461645746166
cs33k,0.9722222222222222,0.14571190674437967,0.25343953656770457,0.9217877094972067,0.1375,0.23930384336475713,0.9444444444444444,0.14154870940882597,0.24619840695148443
csg5y,0.9867986798679867,0.2341425215348473,0.37848101265822787,0.9602649006622517,0.22727272727272727,0.36755386565272496,0.966996699669967,0.22944400939702428,0.3708860759493671
cspo3,0.9664179104477612,0.24643196955280686,0.39272175890826383,0.9101123595505618,0.23142857142857143,0.36902050113895213,0.9067164179104478,0.23120837297811608,0.36846095526914324
cteoi,0.9949238578680203,0.1824953445065177,0.3084185680566483,0.9540816326530612,0.17427772600186392,0.29472025216706066,0.9796954314720813,0.17970204841713222,0.3036978756884343
ctfyd,0.9552238805970149,0.07297605473204105,0.13559322033898308,0.9022556390977443,0.06845407872219053,0.12725344644750794,0.8507462686567164,0.06499429874572406,0.12076271186440678
cti7d,0.9545454545454546,0.15587044534412955,0.2679814385150812,0.8755186721991701,0.1424713031735314,0.2450638792102207,0.8966942148760331,0.14642375168690958,0.25174013921113686
ctkqk,0.9959677419354839,0.16091205211726384,0.2770611329220415,0.9352226720647774,0.15058670143415906,0.2594048287478944,0.9717741935483871,0.15700325732899023,0.27033090297251827
cu41u,0.973568281938326,0.13061465721040189,0.23032829598749346,0.8407079646017699,0.11235955056179775,0.19822639540949397,0.9074889867841409,0.12174940898345153,0.21469515372589892
cu5ye,0.9789473684210527,0.22103386809269163,0.3606398448860882,0.9498680738786279,0.2140309155766944,0.3493449781659389,0.9657894736842105,0.21806298276886513,0.35579253514299564
cu7fb,0.9673202614379085,0.0755873340143003,0.14021790620558974,0.9144736842105263,0.07102708226877874,0.13181602655286864,0.934640522875817,0.07303370786516854,0.13548081477972523
cubvt,0.9680851063829787,0.09118236472945891,0.16666666666666663,0.93048128342246,0.08721804511278196,0.15948670944087995,0.9521276595744681,0.08967935871743488,0.16391941391941392
cuehj,0.9817351598173516,0.10596352883193691,0.19128113879003558,0.9220183486238532,0.09911242603550297,0.17898486197684776,0.9315068493150684,0.10054213898472154,0.18149466192170818
cuinz,0.9523809523809523,0.1251564455569462,0.22123893805309733,0.8516746411483254,0.11145898559799625,0.19712070874861573,0.8095238095238095,0.10638297872340426,0.18805309734513276
cumue,0.9491525423728814,0.10135746606334842,0.18315617334423548,0.8717948717948718,0.09239130434782608,0.16707616707616707,0.8813559322033898,0.09411764705882353,0.17007358953393295
ny7ew,0.9937694704049844,0.32701178882624293,0.49209409949865024,0.968798751950078,0.31846153846153846,0.479351601698186,0.985981308411215,0.32444900051255765,0.4882375626687235
nye9v,0.9949494949494949,0.2252715837621498,0.3673659673659674,0.9696202531645569,0.21910755148741418,0.35744283714419034,0.9924242424242424,0.22469982847341338,0.36643356643356645
nykuk,0.9946524064171123,0.14797136038186157,0.25761772853185594,0.9408602150537635,0.1393312101910828,0.24271844660194172,0.9679144385026738,0.14399363564041368,0.25069252077562326
nyrj5,0.9928909952606635,0.20929070929070928,0.3457095709570957,0.9667458432304038,0.20339830084957522,0.33608587943848056,0.9834123222748815,0.2072927072927073,0.3424092409240924
nyrtv,0.9586206896551724,0.12705667276051189,0.22437449556093622,0.8819444444444444,0.1161939615736505,0.2053354890864996,0.896551724137931,0.11882998171846434,0.2098466505246166
nysbq,0.9707112970711297,0.1678726483357453,0.28624305983960524,0.9411764705882353,0.16220130340333092,0.27671402100061765,0.9414225941422594,0.16280752532561504,0.2776064157927205
nytq0,0.9822784810126582,0.24603677869372226,0.3935091277890467,0.9289340101522843,0.23223350253807107,0.3715736040609137,0.9620253164556962,0.24096385542168675,0.38539553752535494
nyywo,0.9975369458128078,0.26011560693641617,0.41263372389200204,0.9679012345679012,0.2519280205655527,0.3997960224375318,0.9655172413793104,0.25176621708413616,0.3993886907794193
nz35r,0.981651376146789,0.11449973247726057,0.2050790608528989,0.9354838709677419,0.10867237687366167,0.19472422062350123,0.9403669724770642,0.10968432316746923,0.19645424053665544
nzejf,0.9962264150943396,0.1610738255033557,0.27731092436974786,0.9583333333333334,0.15445665445665446,0.26603575184016826,0.9320754716981132,0.15070164734594266,0.25945378151260506
nzh6y,0.9938837920489296,0.18156424581005587,0.3070382616910723,0.9723926380368099,0.1771939631078815,0.29976359338061465,0.9847094801223242,0.17988826815642459,0.30420406235238545
nzn0l,0.964824120603015,0.13186813186813187,0.23202416918429003,0.9090909090909091,0.12371134020618557,0.21778584392014516,0.8894472361809045,0.12156593406593406,0.21389728096676736
nzq1c,0.9919678714859438,0.1990330378726833,0.3315436241610738,0.967741935483871,0.1935483870967742,0.3225806451612903,0.9879518072289156,0.1982272360999194,0.3302013422818792
nzq2f,0.9815668202764977,0.14843205574912893,0.25786924939467315,0.9444444444444444,0.14225941422594143,0.24727272727272728,0.967741935483871,0.14634146341463414,0.2542372881355932
nzr0l,0.991869918699187,0.21573828470380194,0.35439360929557007,0.9591836734693877,0.2079646017699115,0.3418181818181818,0.983739837398374,0.21396993810786913,0.3514887436456064
nzvd8,0.9528795811518325,0.12898653437278526,0.2272159800249688,0.868421052631579,0.11702127659574468,0.20625,0.9057591623036649,0.12260807937632884,0.215980024968789
o005h,0.9622641509433962,0.09826589595375723,0.17832167832167833,0.7440758293838863,0.07566265060240963,0.1373578302712161,0.7783018867924528,0.07947976878612717,0.14423076923076922
o01fu,0.953125,0.1501230516817063,0.2593905031892275,0.8900523560209425,0.13957307060755336,0.24130589070262595,0.9114583333333334,0.1435602953240361,0.24805102763997167
o01mt,0.954954954954955,0.14237743451981194,0.2478082992402104,0.8687782805429864,0.12903225806451613,0.22469280280866005,0.8828828828828829,0.13163196776359973,0.22910578609000584
o0927,0.9906103286384976,0.17656903765690377,0.2997159090909091,0.9575471698113207,0.17001675041876047,0.2887624466571835,0.9859154929577465,0.17573221757322174,0.29829545454545453
o09u3,0.9953161592505855,0.23571824736550195,0.38116591928251126,0.9647887323943662,0.22807991120976692,0.3689407540394973,0.990632318501171,0.23460898502495842,0.37937219730941707
