conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cl8at,0.920265780730897,1.0,0.9584775086505191,0.9201995012468828,1.0,0.9584415584415583,0.920265780730897,1.0,0.9584775086505191
clcgf,0.9367396593673966,1.0,0.9673366834170855,0.9367088607594937,1.0,0.9673202614379084,0.9367396593673966,1.0,0.9673366834170855
clhma,0.9042904290429042,1.0,0.9497400346620449,0.9042272126816381,1.0,0.9497051682275407,0.9042904290429042,1.0,0.9497400346620449
cmat3,0.9260089686098655,1.0,0.9615832363213038,0.9259536275243081,1.0,0.9615533980582524,0.9260089686098655,1.0,0.9615832363213038
cmb29,0.9477325134511914,1.0,0.9731649565903709,0.9476923076923077,1.0,0.9731437598736178,0.9477325134511914,1.0,0.9731649565903709
cmgap,0.9338842975206612,1.0,0.9658119658119658,0.9338345864661655,1.0,0.9657853810264386,0.9338842975206612,1.0,0.9658119658119658
cmmqc,0.9376899696048632,1.0,0.9678431372549019,0.9376425855513308,1.0,0.967817896389325,0.9376899696048632,1.0,0.9678431372549019
cmu5s,0.9360955056179775,1.0,0.966993108451215,0.9360505973295854,1.0,0.9669691470054447,0.9360955056179775,1.0,0.966993108451215
cnd1y,0.9282013323464101,1.0,0.962763915547025,0.9281481481481482,1.0,0.9627353054168267,0.9282013323464101,1.0,0.962763915547025
cnd3k,0.9146567717996289,1.0,0.9554263565891472,0.9146171693735499,1.0,0.9554047503635482,0.9146567717996289,1.0,0.9554263565891472
cnme0,0.9130952380952381,1.0,0.9545737398879901,0.9130434782608695,1.0,0.9545454545454545,0.9130952380952381,1.0,0.9545737398879901
cnzj1,0.9128233970753655,1.0,0.9544251690679212,0.9127743387732132,1.0,0.9543983524566049,0.9128233970753655,1.0,0.9544251690679212
cqbml,0.9330038440417353,1.0,0.9653409090909091,0.932967032967033,1.0,0.9653212052302445,0.9330038440417353,1.0,0.9653409090909091
cqrdq,0.9355424421243759,1.0,0.9666979362101313,0.935513169845595,1.0,0.9666823087752229,0.9355424421243759,1.0,0.9666979362101313
cqzx5,0.956140350877193,1.0,0.9775784753363228,0.9561082662765179,1.0,0.9775617053103964,0.956140350877193,1.0,0.9775784753363228
cs33k,0.9479084451460142,1.0,0.973257698541329,0.9478672985781991,1.0,0.9732360097323601,0.9479084451460142,1.0,0.973257698541329
csg5y,0.9362170087976539,1.0,0.9670579326012874,0.9361702127659575,1.0,0.967032967032967,0.9362170087976539,1.0,0.9670579326012874
