conversation_id,ollama_rouge1_f1,ollama_rouge2_f1,ollama_rougeL_f1,tfidf_rouge1_f1,tfidf_rouge2_f1,tfidf_rougeL_f1
cm2w3,0.7030716723549488,0.6872852233676976,0.7030716723549488,0.9920424403183024,0.9919999999999999,0.9920424403183024
cml25,0.5488721804511277,0.5075757575757576,0.5263157894736842,0.9562982005141388,0.9560723514211887,0.9562982005141388
cmr65,0.7070707070707071,0.6428571428571428,0.6666666666666666,0.9344978165938864,0.9339207048458149,0.9344978165938864
cn0io,0.759124087591241,0.7205882352941178,0.7299270072992701,0.9640718562874252,0.963855421686747,0.9640718562874252
cn36l,0.8805970149253731,0.8646616541353384,0.8805970149253731,0.9666666666666666,0.9664429530201343,0.9666666666666666
cn5om,0.8723404255319148,0.8428571428571427,0.8581560283687943,0.9570552147239264,0.9567901234567902,0.9570552147239264
cnixv,0.6130653266331658,0.5583756345177664,0.5728643216080402,0.959409594095941,0.9591078066914498,0.959409594095941
cnji3,0.7232704402515723,0.6962025316455697,0.7044025157232705,0.9617224880382775,0.9615384615384615,0.9617224880382775
cod6c,0.5673076923076923,0.5242718446601943,0.5192307692307693,0.989399293286219,0.9893238434163701,0.989399293286219
cp48p,0.7982456140350878,0.7433628318584072,0.7543859649122807,0.9870129870129869,0.9868995633187774,0.9870129870129869
cqasg,0.6639004149377593,0.6276150627615062,0.6390041493775934,0.9625,0.9622641509433962,0.9625
cqbbo,0.9213483146067416,0.8983050847457628,0.9044943820224719,0.9917808219178083,0.9917355371900827,0.9917808219178083
cqfqi,0.9112903225806451,0.8943089430894308,0.9032258064516129,0.9565217391304348,0.9562043795620437,0.9565217391304348
cqjd9,0.808022922636103,0.7838616714697405,0.7965616045845273,0.9927360774818402,0.9927007299270074,0.9927360774818402
cqovk,0.4924242424242424,0.43511450381679384,0.4545454545454545,0.9494949494949495,0.949238578680203,0.9494949494949495
cqu8z,0.9236111111111112,0.9160839160839161,0.9236111111111112,0.99009900990099,0.9900332225913622,0.99009900990099
cqyw6,0.9822064056939501,0.982078853046595,0.9822064056939501,0.989247311827957,0.9891696750902527,0.989247311827957
ctw1r,0.6829268292682926,0.6475409836065573,0.6747967479674798,0.9648562300319489,0.9646302250803859,0.9648562300319489
ctz97,0.6420664206642067,0.5947955390334572,0.6051660516605165,0.9916897506925207,0.9916434540389973,0.9916897506925207
cvi0h,0.9120000000000001,0.903225806451613,0.904,0.9624060150375939,0.9621212121212122,0.9624060150375939
cvpra,0.9160839160839161,0.9084507042253521,0.909090909090909,0.98989898989899,0.9898305084745762,0.98989898989899
ny2xk,0.9311740890688259,0.9224489795918367,0.923076923076923,0.9879518072289156,0.9878542510121457,0.9879518072289156
ny46j,0.6373626373626373,0.5777777777777777,0.6373626373626373,0.9868995633187774,0.986784140969163,0.9868995633187774
ny5bd,0.8583333333333333,0.823529411764706,0.825,0.9883268482490272,0.988235294117647,0.9883268482490272
nyc7b,0.8823529411764707,0.864406779661017,0.8823529411764707,0.9266409266409266,0.9260700389105059,0.9266409266409266
nycav,0.8756218905472638,0.864321608040201,0.8756218905472638,0.9864253393665159,0.9863013698630138,0.9864253393665159
nyd1c,0.8137254901960784,0.7722772277227723,0.7745098039215687,0.9871244635193133,0.9870129870129869,0.9871244635193133
nyd49,0.6013986013986015,0.5845070422535211,0.5874125874125874,0.9656862745098039,0.9655172413793104,0.9656862745098039
nyfhl,0.6122448979591837,0.5670103092783505,0.5714285714285714,0.9883268482490272,0.988235294117647,0.9883268482490272
nyi4y,0.6637931034482758,0.6434782608695653,0.646551724137931,0.9529780564263323,0.9526813880126183,0.9529780564263323
nynsm,0.7109375,0.6771653543307087,0.6796874999999999,0.9717868338557993,0.971608832807571,0.9717868338557993
nynsr,0.8318042813455657,0.8,0.8012232415902142,0.9604221635883905,0.9602122015915119,0.9604221635883905
nyp3m,0.7862068965517242,0.7638888888888887,0.7793103448275862,0.9485714285714286,0.9482758620689655,0.9485714285714286
nypcs,0.8770053475935828,0.8548387096774194,0.8770053475935828,0.955223880597015,0.955,0.955223880597015
nyqrt,0.8744939271255062,0.8653061224489796,0.8663967611336032,0.9523809523809523,0.952029520295203,0.9523809523809523
nyrcv,0.7768595041322315,0.75,0.768595041322314,0.9668874172185431,0.9666666666666666,0.9668874172185431
nyrjy,0.9584664536741214,0.9389067524115755,0.9456869009584664,0.9907692307692307,0.9907120743034055,0.9907692307692307
nysfd,0.7601476014760148,0.7286245353159851,0.7306273062730627,0.9908256880733944,0.9907692307692307,0.9908256880733944
nytfy,0.8467966573816156,0.8235294117647058,0.8245125348189414,0.9662337662337662,0.9660574412532638,0.9662337662337662
nyv76,0.9126213592233009,0.8990228013029317,0.9061488673139159,0.9905362776025236,0.9904761904761905,0.9905362776025236
nyx78,0.7181208053691276,0.6891891891891891,0.7046979865771812,0.9916897506925207,0.9916434540389973,0.9916897506925207
nyxqq,0.8059701492537313,0.7939698492462312,0.7960199004975125,0.9873417721518987,0.9872340425531915,0.9873417721518987
nyyci,0.6881720430107526,0.673913043478261,0.6881720430107526,0.963265306122449,0.962962962962963,0.963265306122449
nz0fd,0.8617363344051446,0.8284789644012944,0.8295819935691319,0.9913544668587896,0.9913043478260869,0.9913544668587896
nz10n,0.7889908256880733,0.7692307692307692,0.7828746177370032,0.9735449735449735,0.973404255319149,0.9735449735449735
nz24k,0.7516778523489933,0.7162162162162161,0.7382550335570469,0.9479166666666667,0.9476439790575917,0.9479166666666667
nz25e,0.8278388278388278,0.7896678966789669,0.8131868131868133,0.9899665551839464,0.98989898989899,0.9899665551839464
nz33n,0.8479262672811061,0.8279069767441859,0.8387096774193549,0.9872340425531915,0.9871244635193133,0.9872340425531915
nz84t,0.9520958083832335,0.9397590361445785,0.9520958083832335,0.96045197740113,0.9602272727272728,0.96045197740113
nz8du,0.6722689075630253,0.6271186440677966,0.6134453781512605,0.9901639344262295,0.99009900990099,0.9901639344262295
nz927,0.555984555984556,0.5058365758754864,0.5173745173745173,0.9916434540389973,0.9915966386554621,0.9916434540389973
nz9j9,0.5536332179930796,0.5226480836236934,0.5328719723183392,0.9926289926289926,0.9925925925925926,0.9926289926289926
nz9oi,0.6741573033707866,0.6415094339622641,0.644194756554307,0.9910979228486646,0.9910447761194029,0.9910979228486646
nzam4,0.6666666666666667,0.6369863013698631,0.6462585034013606,0.9569620253164557,0.9567430025445294,0.9569620253164557
nzb1l,0.8208955223880596,0.7894736842105263,0.8059701492537313,0.9904153354632589,0.9903536977491961,0.9904153354632589
nzb22,0.8860759493670887,0.8680851063829788,0.8691983122362869,0.9876543209876543,0.9875518672199171,0.9876543209876543
nzbpe,0.8345323741007195,0.8115942028985508,0.8057553956834532,0.990228013029316,0.9901639344262295,0.990228013029316
nzbw5,0.6956521739130435,0.6483516483516484,0.6630434782608695,0.9868995633187774,0.986784140969163,0.9868995633187774
nzcec,0.5660377358490566,0.5428571428571428,0.5471698113207547,0.9900332225913622,0.9899665551839464,0.9900332225913622
nzcg6,0.711864406779661,0.675767918088737,0.6915254237288134,0.991869918699187,0.9918256130790191,0.991869918699187
nzcm4,0.9201101928374656,0.9141274238227146,0.9201101928374656,0.9918256130790191,0.9917808219178083,0.9918256130790191
nzcqq,0.9254901960784314,0.924901185770751,0.9254901960784314,0.9879518072289156,0.9878542510121457,0.9879518072289156
nzdw2,0.759124087591241,0.7352941176470587,0.7445255474452553,0.9911504424778761,0.9910979228486646,0.9911504424778761
nzdw9,0.7230769230769231,0.6666666666666666,0.676923076923077,0.9905956112852665,0.9905362776025236,0.9905956112852665
nzfsl,0.8194070080862533,0.7804878048780489,0.7924528301886793,0.8820512820512821,0.865979381443299,0.8717948717948718
nzgzz,0.8679245283018867,0.8354430379746836,0.8427672955974844,0.9649122807017544,0.9647058823529412,0.9649122807017544
nzhoy,0.8199999999999998,0.785234899328859,0.8066666666666668,0.9405405405405405,0.9402173913043478,0.9405405405405405
nzicc,0.834733893557423,0.8056338028169014,0.8179271708683472,0.948356807511737,0.9481132075471698,0.948356807511737
nzihx,0.826530612244898,0.8,0.8061224489795918,0.9713024282560706,0.9711751662971174,0.9713024282560706
nzit3,0.7656765676567655,0.7308970099667773,0.7524752475247525,0.9572192513368984,0.956989247311828,0.9572192513368984
nzj1h,0.9430379746835443,0.9426751592356688,0.9430379746835443,0.9900332225913622,0.9899665551839464,0.9900332225913622
nzjrt,0.5337423312883435,0.4938271604938272,0.4907975460122699,0.9935760171306209,0.9935483870967742,0.9935760171306209
nzjtx,0.7688022284122562,0.7507002801120448,0.7465181058495822,0.9930715935334873,0.9930394431554525,0.9930715935334873
nzjx6,0.9438202247191011,0.9433962264150945,0.9438202247191011,0.988235294117647,0.9881422924901185,0.988235294117647
nzk10,0.8078817733990147,0.7661691542288558,0.7684729064039408,0.9866666666666666,0.9865470852017937,0.9866666666666666
nzkjv,0.8584905660377358,0.8380952380952381,0.8584905660377358,0.9873417721518987,0.9872340425531915,0.9873417721518987
nzl6u,0.7482993197278913,0.684931506849315,0.7142857142857143,0.970189701897019,0.9700272479564032,0.970189701897019
nzmjg,0.8383838383838385,0.826530612244898,0.8282828282828283,0.9866666666666666,0.9865470852017937,0.9866666666666666
nznpd,0.9300911854103343,0.9051987767584098,0.9118541033434651,0.9763313609467456,0.9761904761904763,0.9763313609467456
nzo3f,0.6162162162162163,0.5792349726775956,0.5837837837837837,0.9873417721518987,0.9872340425531915,0.9873417721518987
nzodz,0.8584070796460177,0.8482142857142857,0.8584070796460177,0.9583333333333334,0.9579831932773109,0.9583333333333334
nzsz5,0.6724890829694324,0.6255506607929515,0.62882096069869,0.98989898989899,0.9898305084745762,0.98989898989899
