conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cm2w3,0.9842105263157894,1.0,0.9920424403183024,0.9841269841269841,1.0,0.9919999999999999,0.9842105263157894,1.0,0.9920424403183024
cml25,0.916256157635468,1.0,0.9562982005141388,0.9158415841584159,1.0,0.9560723514211887,0.916256157635468,1.0,0.9562982005141388
cmr65,0.8770491803278688,1.0,0.9344978165938864,0.8760330578512396,1.0,0.9339207048458149,0.8770491803278688,1.0,0.9344978165938864
cn0io,0.930635838150289,1.0,0.9640718562874252,0.9302325581395349,1.0,0.963855421686747,0.930635838150289,1.0,0.9640718562874252
cn36l,0.9354838709677419,1.0,0.9666666666666666,0.935064935064935,1.0,0.9664429530201343,0.9354838709677419,1.0,0.9666666666666666
cn5om,0.9176470588235294,1.0,0.9570552147239264,0.9171597633136095,1.0,0.9567901234567902,0.9176470588235294,1.0,0.9570552147239264
cnixv,0.9219858156028369,1.0,0.959409594095941,0.9214285714285714,1.0,0.9591078066914498,0.9219858156028369,1.0,0.959409594095941
cnji3,0.9262672811059908,1.0,0.9617224880382775,0.9259259259259259,1.0,0.9615384615384615,0.9262672811059908,1.0,0.9617224880382775
cod6c,0.9790209790209791,1.0,0.989399293286219,0.9788732394366197,1.0,0.9893238434163701,0.9790209790209791,1.0,0.989399293286219
cp48p,0.9743589743589743,1.0,0.9870129870129869,0.9741379310344828,1.0,0.9868995633187774,0.9743589743589743,1.0,0.9870129870129869
cqasg,0.927710843373494,1.0,0.9625,0.9272727272727272,1.0,0.9622641509433962,0.927710843373494,1.0,0.9625
cqbbo,0.9836956521739131,1.0,0.9917808219178083,0.9836065573770492,1.0,0.9917355371900827,0.9836956521739131,1.0,0.9917808219178083
cqfqi,0.9166666666666666,1.0,0.9565217391304348,0.916083916083916,1.0,0.9562043795620437,0.9166666666666666,1.0,0.9565217391304348
cqjd9,0.9855769230769231,1.0,0.9927360774818402,0.9855072463768116,1.0,0.9927007299270074,0.9855769230769231,1.0,0.9927360774818402
cqovk,0.9038461538461539,1.0,0.9494949494949495,0.9033816425120773,1.0,0.949238578680203,0.9038461538461539,1.0,0.9494949494949495
cqu8z,0.9803921568627451,1.0,0.99009900990099,0.9802631578947368,1.0,0.9900332225913622,0.9803921568627451,1.0,0.99009900990099
cqyw6,0.9787234042553191,1.0,0.989247311827957,0.9785714285714285,1.0,0.9891696750902527,0.9787234042553191,1.0,0.989247311827957
ctw1r,0.9320987654320988,1.0,0.9648562300319489,0.9316770186335404,1.0,0.9646302250803859,0.9320987654320988,1.0,0.9648562300319489
ctz97,0.9835164835164835,1.0,0.9916897506925207,0.9834254143646409,1.0,0.9916434540389973,0.9835164835164835,1.0,0.9916897506925207
cvi0h,0.927536231884058,1.0,0.9624060150375939,0.927007299270073,1.0,0.9621212121212122,0.927536231884058,1.0,0.9624060150375939
cvpra,0.98,1.0,0.98989898989899,0.9798657718120806,1.0,0.9898305084745762,0.98,1.0,0.98989898989899
ny2xk,0.9761904761904762,1.0,0.9879518072289156,0.976,1.0,0.9878542510121457,0.9761904761904762,1.0,0.9879518072289156
ny46j,0.9741379310344828,1.0,0.9868995633187774,0.9739130434782609,1.0,0.986784140969163,0.9741379310344828,1.0,0.9868995633187774
ny5bd,0.9769230769230769,1.0,0.9883268482490272,0.9767441860465116,1.0,0.988235294117647,0.9769230769230769,1.0,0.9883268482490272
nyc7b,0.8633093525179856,1.0,0.9266409266409266,0.8623188405797102,1.0,0.9260700389105059,0.8633093525179856,1.0,0.9266409266409266
nycav,0.9732142857142857,1.0,0.9864253393665159,0.972972972972973,1.0,0.9863013698630138,0.9732142857142857,1.0,0.9864253393665159
nyd1c,0.9745762711864406,1.0,0.9871244635193133,0.9743589743589743,1.0,0.9870129870129869,0.9745762711864406,1.0,0.9871244635193133
nyd49,0.933649289099526,1.0,0.9656862745098039,0.9333333333333333,1.0,0.9655172413793104,0.933649289099526,1.0,0.9656862745098039
nyfhl,0.9769230769230769,1.0,0.9883268482490272,0.9767441860465116,1.0,0.988235294117647,0.9769230769230769,1.0,0.9883268482490272
nyi4y,0.9101796407185628,1.0,0.9529780564263323,0.9096385542168675,1.0,0.9526813880126183,0.9101796407185628,1.0,0.9529780564263323
nynsm,0.9451219512195121,1.0,0.9717868338557993,0.9447852760736196,1.0,0.971608832807571,0.9451219512195121,1.0,0.9717868338557993
nynsr,0.9238578680203046,1.0,0.9604221635883905,0.923469387755102,1.0,0.9602122015915119,0.9238578680203046,1.0,0.9604221635883905
nyp3m,0.9021739130434783,1.0,0.9485714285714286,0.9016393442622951,1.0,0.9482758620689655,0.9021739130434783,1.0,0.9485714285714286
nypcs,0.9142857142857143,1.0,0.955223880597015,0.9138755980861244,1.0,0.955,0.9142857142857143,1.0,0.955223880597015
nyqrt,0.9090909090909091,1.0,0.9523809523809523,0.9084507042253521,1.0,0.952029520295203,0.9090909090909091,1.0,0.9523809523809523
nyrcv,0.9358974358974359,1.0,0.9668874172185431,0.9354838709677419,1.0,0.9666666666666666,0.9358974358974359,1.0,0.9668874172185431
nyrjy,0.9817073170731707,1.0,0.9907692307692307,0.9815950920245399,1.0,0.9907120743034055,0.9817073170731707,1.0,0.9907692307692307
nysfd,0.9818181818181818,1.0,0.9908256880733944,0.9817073170731707,1.0,0.9907692307692307,0.9818181818181818,1.0,0.9908256880733944
nytfy,0.9346733668341709,1.0,0.9662337662337662,0.9343434343434344,1.0,0.9660574412532638,0.9346733668341709,1.0,0.9662337662337662
nyv76,0.98125,1.0,0.9905362776025236,0.9811320754716981,1.0,0.9904761904761905,0.98125,1.0,0.9905362776025236
nyx78,0.9835164835164835,1.0,0.9916897506925207,0.9834254143646409,1.0,0.9916434540389973,0.9835164835164835,1.0,0.9916897506925207
nyxqq,0.975,1.0,0.9873417721518987,0.9747899159663865,1.0,0.9872340425531915,0.975,1.0,0.9873417721518987
nyyci,0.9291338582677166,1.0,0.963265306122449,0.9285714285714286,1.0,0.962962962962963,0.9291338582677166,1.0,0.963265306122449
nz0fd,0.9828571428571429,1.0,0.9913544668587896,0.9827586206896551,1.0,0.9913043478260869,0.9828571428571429,1.0,0.9913544668587896
nz10n,0.9484536082474226,1.0,0.9735449735449735,0.9481865284974094,1.0,0.973404255319149,0.9484536082474226,1.0,0.9735449735449735
nz24k,0.900990099009901,1.0,0.9479166666666667,0.900497512437811,1.0,0.9476439790575917,0.900990099009901,1.0,0.9479166666666667
nz25e,0.9801324503311258,1.0,0.9899665551839464,0.98,1.0,0.98989898989899,0.9801324503311258,1.0,0.9899665551839464
nz33n,0.9747899159663865,1.0,0.9872340425531915,0.9745762711864406,1.0,0.9871244635193133,0.9747899159663865,1.0,0.9872340425531915
nz84t,0.9239130434782609,1.0,0.96045197740113,0.9234972677595629,1.0,0.9602272727272728,0.9239130434782609,1.0,0.96045197740113
nz8du,0.9805194805194806,1.0,0.9901639344262295,0.9803921568627451,1.0,0.99009900990099,0.9805194805194806,1.0,0.9901639344262295
nz927,0.9834254143646409,1.0,0.9916434540389973,0.9833333333333333,1.0,0.9915966386554621,0.9834254143646409,1.0,0.9916434540389973
nz9j9,0.9853658536585366,1.0,0.9926289926289926,0.9852941176470589,1.0,0.9925925925925926,0.9853658536585366,1.0,0.9926289926289926
nz9oi,0.9823529411764705,1.0,0.9910979228486646,0.9822485207100592,1.0,0.9910447761194029,0.9823529411764705,1.0,0.9910979228486646
nzam4,0.9174757281553398,1.0,0.9569620253164557,0.9170731707317074,1.0,0.9567430025445294,0.9174757281553398,1.0,0.9569620253164557
nzb1l,0.9810126582278481,1.0,0.9904153354632589,0.9808917197452229,1.0,0.9903536977491961,0.9810126582278481,1.0,0.9904153354632589
nzb22,0.975609756097561,1.0,0.9876543209876543,0.9754098360655737,1.0,0.9875518672199171,0.975609756097561,1.0,0.9876543209876543
nzbpe,0.9806451612903225,1.0,0.990228013029316,0.9805194805194806,1.0,0.9901639344262295,0.9806451612903225,1.0,0.990228013029316
nzbw5,0.9741379310344828,1.0,0.9868995633187774,0.9739130434782609,1.0,0.986784140969163,0.9741379310344828,1.0,0.9868995633187774
nzcec,0.9802631578947368,1.0,0.9900332225913622,0.9801324503311258,1.0,0.9899665551839464,0.9802631578947368,1.0,0.9900332225913622
nzcg6,0.9838709677419355,1.0,0.991869918699187,0.9837837837837838,1.0,0.9918256130790191,0.9838709677419355,1.0,0.991869918699187
nzcm4,0.9837837837837838,1.0,0.9918256130790191,0.9836956521739131,1.0,0.9917808219178083,0.9837837837837838,1.0,0.9918256130790191
nzcqq,0.9761904761904762,1.0,0.9879518072289156,0.976,1.0,0.9878542510121457,0.9761904761904762,1.0,0.9879518072289156
nzdw2,0.9824561403508771,1.0,0.9911504424778761,0.9823529411764705,1.0,0.9910979228486646,0.9824561403508771,1.0,0.9911504424778761
nzdw9,0.9813664596273292,1.0,0.9905956112852665,0.98125,1.0,0.9905362776025236,0.9813664596273292,1.0,0.9905956112852665
nzfsl,0.9555555555555556,0.819047619047619,0.8820512820512821,0.9385474860335196,0.8038277511961722,0.865979381443299,0.9444444444444444,0.8095238095238095,0.8717948717948718
nzgzz,0.9322033898305084,1.0,0.9649122807017544,0.9318181818181818,1.0,0.9647058823529412,0.9322033898305084,1.0,0.9649122807017544
nzhoy,0.8877551020408163,1.0,0.9405405405405405,0.8871794871794871,1.0,0.9402173913043478,0.8877551020408163,1.0,0.9405405405405405
nzicc,0.9017857142857143,1.0,0.948356807511737,0.9013452914798207,1.0,0.9481132075471698,0.9017857142857143,1.0,0.948356807511737
nzihx,0.944206008583691,1.0,0.9713024282560706,0.9439655172413793,1.0,0.9711751662971174,0.944206008583691,1.0,0.9713024282560706
nzit3,0.9179487179487179,1.0,0.9572192513368984,0.9175257731958762,1.0,0.956989247311828,0.9179487179487179,1.0,0.9572192513368984
nzj1h,0.9802631578947368,1.0,0.9900332225913622,0.9801324503311258,1.0,0.9899665551839464,0.9802631578947368,1.0,0.9900332225913622
nzjrt,0.9872340425531915,1.0,0.9935760171306209,0.9871794871794872,1.0,0.9935483870967742,0.9872340425531915,1.0,0.9935760171306209
nzjtx,0.9862385321100917,1.0,0.9930715935334873,0.9861751152073732,1.0,0.9930394431554525,0.9862385321100917,1.0,0.9930715935334873
nzjx6,0.9767441860465116,1.0,0.988235294117647,0.9765625,1.0,0.9881422924901185,0.9767441860465116,1.0,0.988235294117647
nzk10,0.9736842105263158,1.0,0.9866666666666666,0.9734513274336283,1.0,0.9865470852017937,0.9736842105263158,1.0,0.9866666666666666
nzkjv,0.975,1.0,0.9873417721518987,0.9747899159663865,1.0,0.9872340425531915,0.975,1.0,0.9873417721518987
nzl6u,0.9421052631578948,1.0,0.970189701897019,0.9417989417989417,1.0,0.9700272479564032,0.9421052631578948,1.0,0.970189701897019
nzmjg,0.9736842105263158,1.0,0.9866666666666666,0.9734513274336283,1.0,0.9865470852017937,0.9736842105263158,1.0,0.9866666666666666
nznpd,0.953757225433526,1.0,0.9763313609467456,0.9534883720930233,1.0,0.9761904761904763,0.953757225433526,1.0,0.9763313609467456
nzo3f,0.975,1.0,0.9873417721518987,0.9747899159663865,1.0,0.9872340425531915,0.975,1.0,0.9873417721518987
nzodz,0.92,1.0,0.9583333333333334,0.9193548387096774,1.0,0.9579831932773109,0.92,1.0,0.9583333333333334
nzsz5,0.98,1.0,0.98989898989899,0.9798657718120806,1.0,0.9898305084745762,0.98,1.0,0.98989898989899
nzuvm,0.9763779527559056,1.0,0.9880478087649402,0.9761904761904762,1.0,0.9879518072289156,0.9763779527559056,1.0,0.9880478087649402
nzxce,0.9765625,1.0,0.9881422924901185,0.9763779527559056,1.0,0.9880478087649402,0.9765625,1.0,0.9881422924901185
nzy2f,0.9841269841269841,1.0,0.9919999999999999,0.9840425531914894,1.0,0.9919571045576407,0.9841269841269841,1.0,0.9919999999999999
nzzog,0.936046511627907,1.0,0.966966966966967,0.935672514619883,1.0,0.9667673716012084,0.936046511627907,1.0,0.966966966966967
nzzoy,0.9793103448275862,1.0,0.9895470383275261,0.9791666666666666,1.0,0.9894736842105264,0.9793103448275862,1.0,0.9895470383275261
o02ck,0.9752066115702479,1.0,0.9874476987447699,0.975,1.0,0.9873417721518987,0.9752066115702479,1.0,0.9874476987447699
o03tz,0.9739130434782609,1.0,0.986784140969163,0.9736842105263158,1.0,0.9866666666666666,0.9739130434782609,1.0,0.986784140969163
o03yy,0.9754098360655737,1.0,0.9875518672199171,0.9752066115702479,1.0,0.9874476987447699,0.9754098360655737,1.0,0.9875518672199171
o0651,0.9532163742690059,1.0,0.9760479041916168,0.9529411764705882,1.0,0.9759036144578312,0.9532163742690059,1.0,0.9760479041916168
o0673,0.972972972972973,1.0,0.9863013698630138,0.9727272727272728,1.0,0.9861751152073733,0.972972972972973,1.0,0.9863013698630138
o06cj,0.9745762711864406,1.0,0.9871244635193133,0.9743589743589743,1.0,0.9870129870129869,0.9745762711864406,1.0,0.9871244635193133
o06j0,0.9820359281437125,1.0,0.9909365558912386,0.9819277108433735,1.0,0.9908814589665653,0.9820359281437125,1.0,0.9909365558912386
o06nb,0.8810810810810811,1.0,0.9367816091954023,0.8804347826086957,1.0,0.9364161849710982,0.8810810810810811,1.0,0.9367816091954023
o07zg,0.9777777777777777,1.0,0.9887640449438202,0.9776119402985075,1.0,0.9886792452830189,0.9777777777777777,1.0,0.9887640449438202
o09rh,0.9739130434782609,1.0,0.986784140969163,0.9736842105263158,1.0,0.9866666666666666,0.9739130434782609,1.0,0.986784140969163
o0aaz,0.9769230769230769,1.0,0.9883268482490272,0.9767441860465116,1.0,0.988235294117647,0.9769230769230769,1.0,0.9883268482490272
o0d1k,0.9801324503311258,1.0,0.9899665551839464,0.98,1.0,0.98989898989899,0.9801324503311258,1.0,0.9899665551839464
