conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cm2w3,1.0,0.4117647058823529,0.5833333333333334,0.9736842105263158,0.3978494623655914,0.564885496183206,1.0,0.4117647058823529,0.5833333333333334
cml25,1.0,0.7741935483870968,0.8727272727272727,0.993006993006993,0.7675675675675676,0.8658536585365854,1.0,0.7741935483870968,0.8727272727272727
cmr65,1.0,0.7850467289719626,0.8795811518324607,0.9879518072289156,0.7735849056603774,0.8677248677248678,1.0,0.7850467289719626,0.8795811518324607
cn0io,1.0,0.7888198757763976,0.8819444444444444,1.0,0.7875,0.881118881118881,1.0,0.7888198757763976,0.8819444444444444
cn36l,1.0,0.6137931034482759,0.7606837606837606,1.0,0.6111111111111112,0.7586206896551725,1.0,0.6137931034482759,0.7606837606837606
cn5om,1.0,0.8782051282051282,0.9351535836177475,0.9926470588235294,0.8709677419354839,0.9278350515463918,1.0,0.8782051282051282,0.9351535836177475
cnixv,1.0,0.4307692307692308,0.6021505376344086,0.9818181818181818,0.4186046511627907,0.5869565217391305,1.0,0.4307692307692308,0.6021505376344086
cnji3,1.0,0.3781094527363184,0.5487364620938628,0.9733333333333334,0.365,0.5309090909090909,1.0,0.3781094527363184,0.5487364620938628
cod6c,1.0,0.39285714285714285,0.5641025641025641,0.9814814814814815,0.381294964028777,0.5492227979274612,1.0,0.39285714285714285,0.5641025641025641
cp48p,1.0,0.6228070175438597,0.7675675675675676,0.9857142857142858,0.6106194690265486,0.7540983606557378,1.0,0.6228070175438597,0.7675675675675676
cqasg,1.0,0.512987012987013,0.6781115879828326,0.9615384615384616,0.49019607843137253,0.6493506493506493,1.0,0.512987012987013,0.6781115879828326
cqbbo,1.0,0.6850828729281768,0.8131147540983606,0.991869918699187,0.6777777777777778,0.8052805280528053,1.0,0.6850828729281768,0.8131147540983606
cqfqi,1.0,0.696969696969697,0.8214285714285715,0.989010989010989,0.6870229007633588,0.8108108108108107,1.0,0.696969696969697,0.8214285714285715
cqjd9,1.0,0.6634146341463415,0.7976539589442815,0.9925925925925926,0.6568627450980392,0.7905604719764011,1.0,0.6634146341463415,0.7976539589442815
cqovk,1.0,0.6170212765957447,0.763157894736842,0.9826086956521739,0.6042780748663101,0.7483443708609272,1.0,0.6170212765957447,0.763157894736842
cqu8z,1.0,0.4,0.5714285714285715,1.0,0.3959731543624161,0.5673076923076923,1.0,0.4,0.5714285714285715
