conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
cm2w3,0.9716981132075472,0.5508021390374331,0.7030716723549488,0.9523809523809523,0.5376344086021505,0.6872852233676976,0.9716981132075472,0.5508021390374331,0.7030716723549488
cml25,0.9125,0.3924731182795699,0.5488721804511277,0.8481012658227848,0.3621621621621622,0.5075757575757576,0.875,0.3763440860215054,0.5263157894736842
cmr65,0.7692307692307693,0.6542056074766355,0.7070707070707071,0.7,0.5943396226415094,0.6428571428571428,0.7252747252747253,0.616822429906542,0.6666666666666666
cn0io,0.9203539823008849,0.6459627329192547,0.759124087591241,0.875,0.6125,0.7205882352941178,0.8849557522123894,0.6211180124223602,0.7299270072992701
cn36l,0.959349593495935,0.8137931034482758,0.8805970149253731,0.9426229508196722,0.7986111111111112,0.8646616541353384,0.959349593495935,0.8137931034482758,0.8805970149253731
cn5om,0.9761904761904762,0.7884615384615384,0.8723404255319148,0.944,0.7612903225806451,0.8428571428571427,0.9603174603174603,0.7756410256410257,0.8581560283687943
cnixv,0.8840579710144928,0.46923076923076923,0.6130653266331658,0.8088235294117647,0.4263565891472868,0.5583756345177664,0.8260869565217391,0.43846153846153846,0.5728643216080402
cnji3,0.9829059829059829,0.572139303482587,0.7232704402515723,0.9482758620689655,0.55,0.6962025316455697,0.9572649572649573,0.5572139303482587,0.7044025157232705
cod6c,0.8676470588235294,0.42142857142857143,0.5673076923076923,0.8059701492537313,0.38848920863309355,0.5242718446601943,0.7941176470588235,0.38571428571428573,0.5192307692307693
cp48p,0.7982456140350878,0.7982456140350878,0.7982456140350878,0.7433628318584071,0.7433628318584071,0.7433628318584072,0.7543859649122807,0.7543859649122807,0.7543859649122807
cqasg,0.9195402298850575,0.5194805194805194,0.6639004149377593,0.872093023255814,0.49019607843137253,0.6276150627615062,0.8850574712643678,0.5,0.6390041493775934
cqbbo,0.9371428571428572,0.9060773480662984,0.9213483146067416,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.92,0.8895027624309392,0.9044943820224719
cqfqi,0.9741379310344828,0.8560606060606061,0.9112903225806451,0.9565217391304348,0.8396946564885496,0.8943089430894308,0.9655172413793104,0.8484848484848485,0.9032258064516129
cqjd9,0.9791666666666666,0.6878048780487804,0.808022922636103,0.951048951048951,0.6666666666666666,0.7838616714697405,0.9652777777777778,0.6780487804878049,0.7965616045845273
cqovk,0.8552631578947368,0.34574468085106386,0.4924242424242424,0.76,0.3048128342245989,0.43511450381679384,0.7894736842105263,0.3191489361702128,0.4545454545454545
cqu8z,0.9637681159420289,0.8866666666666667,0.9236111111111112,0.9562043795620438,0.8791946308724832,0.9160839160839161,0.9637681159420289,0.8866666666666667,0.9236111111111112
cqyw6,0.965034965034965,1.0,0.9822064056939501,0.9647887323943662,1.0,0.982078853046595,0.965034965034965,1.0,0.9822064056939501
ctw1r,0.8842105263157894,0.5562913907284768,0.6829268292682926,0.8404255319148937,0.5266666666666666,0.6475409836065573,0.8736842105263158,0.5496688741721855,0.6747967479674798
