conversation_id,gemini_rouge1_f1,tfidf_rouge1_f1,ollama_rouge1_f1,gpt_rouge1_f1,gemini_rouge1_precision,tfidf_rouge1_precision,ollama_rouge1_precision,gpt_rouge1_precision,gemini_rouge1_recall,tfidf_rouge1_recall,ollama_rouge1_recall,gpt_rouge1_recall,gemini_rouge2_f1,tfidf_rouge2_f1,ollama_rouge2_f1,gpt_rouge2_f1,gemini_rouge2_precision,tfidf_rouge2_precision,ollama_rouge2_precision,gpt_rouge2_precision,gemini_rouge2_recall,tfidf_rouge2_recall,ollama_rouge2_recall,gpt_rouge2_recall,gemini_rougeL_f1,tfidf_rougeL_f1,ollama_rougeL_f1,gpt_rougeL_f1,gemini_rougeL_precision,tfidf_rougeL_precision,ollama_rougeL_precision,gpt_rougeL_precision,gemini_rougeL_recall,tfidf_rougeL_recall,ollama_rougeL_recall,gpt_rougeL_recall,gemini_summary_time_seconds,tfidf_summary_time_seconds,ollama_summary_time_seconds,gpt_summary_time_seconds
1yi9t0,0.346646571213263,0.9961407491486948,N/A,0.2377510040160642,1.0,0.9923111714156492,N/A,1.0,0.2096627164995442,1.0,N/A,0.1349134001823154,0.3340874811463047,0.996138996138996,N/A,0.22508038585209,0.9651416122004356,0.9923076923076924,N/A,0.9491525423728814,0.2020063839489284,1.0,N/A,0.1276789785681714,0.346646571213263,0.9961407491486948,N/A,0.2377510040160642,1.0,0.9923111714156492,N/A,1.0,0.2096627164995442,1.0,N/A,0.1349134001823154,4.753391742706299,0.02,N/A,13.113263845443726
1zz0hh,0.3497555471981948,0.9851818590031431,N/A,0.1701417848206839,1.0,0.9707964601769912,N/A,1.0,0.2119416590701914,1.0,N/A,0.0929808568824065,0.3394806172374859,0.9851752021563344,N/A,0.1619365609348915,0.9719827586206896,0.9707835325365206,N/A,0.955665024630542,0.2056543547651619,1.0,N/A,0.0884632922936616,0.3497555471981948,0.9851818590031431,N/A,0.1701417848206839,1.0,0.9707964601769912,N/A,1.0,0.2119416590701914,1.0,N/A,0.0929808568824065,4.510917901992798,0.02,N/A,7.607733488082886
5rg40h,0.3322923173016864,0.9649439826526924,0.2462540716612377,0.4201183431952662,1.0,0.9322625698324022,0.945,1.0,0.199250936329588,1.0,0.1415730337078651,0.2659176029962546,0.326454033771107,0.9649186256781194,0.2270058708414873,0.4146919431279621,0.9849056603773584,0.9322152341020266,0.8743718592964824,0.9887005649717514,0.1956521739130435,1.0,0.1304347826086956,0.2623688155922039,0.3322923173016864,0.9649439826526924,0.2371335504885993,0.4201183431952662,1.0,0.9322625698324022,0.91,1.0,0.199250936329588,1.0,0.1363295880149812,0.2659176029962546,2.104632616043091,0.03,44.34549927711487,6.974483013153076
69mi5,0.3578115248595797,0.9630352568012688,N/A,0.1473832433701009,1.0,0.9287058823529412,N/A,1.0,0.2178870027869267,1.0,N/A,0.0795540917152267,0.3513007284079084,0.963026235509457,N/A,0.1446348908194412,0.9825378346915018,0.928689103318428,N/A,0.9840255591054312,0.213887480993411,1.0,N/A,0.0780537252914343,0.3578115248595797,0.9630352568012688,N/A,0.1473832433701009,1.0,0.9287058823529412,N/A,1.0,0.2178870027869267,1.0,N/A,0.0795540917152267,4.575069904327393,0.22,N/A,7.980861663818359
69n44,0.7294552169898431,0.9512616660905634,0.1827744904667981,0.4736550194120909,1.0,0.9070533948582729,0.9586206896551724,1.0,0.5741279069767442,1.0,0.1010174418604651,0.3103197674418604,0.7273567467652495,0.9512279488066412,0.1685319289005925,0.4608550805108273,0.9974651457541192,0.9069920844327176,0.8888888888888888,0.9741784037558684,0.5723636363636364,1.0,0.093090909090909,0.3018181818181818,0.7294552169898431,0.9512616660905634,0.1512163050624589,0.4736550194120909,1.0,0.9070533948582729,0.7931034482758621,1.0,0.5741279069767442,1.0,0.0835755813953488,0.3103197674418604,4.554989814758301,0.06,33.03099083900452,9.302725791931152
6a53w,0.4337050805452292,0.9671002295332822,0.312,0.4040404040404041,1.0,0.9362962962962964,0.9915254237288136,1.0,0.2768987341772151,1.0,0.185126582278481,0.2531645569620253,0.4205955334987594,0.9670750382848392,0.2977303070761015,0.3969658659924146,0.97134670487106,0.9362490733876946,0.948936170212766,0.9843260188087776,0.2684085510688836,1.0,0.1765637371338083,0.2486144101346001,0.4337050805452292,0.9671002295332822,0.308,0.4040404040404041,1.0,0.9362962962962964,0.9788135593220338,1.0,0.2768987341772151,1.0,0.182753164556962,0.2531645569620253,2.2348334789276123,0.06,42.10444498062134,6.425971746444702
6a58n,0.1271537970644543,0.9602453987730062,N/A,0.0423580421912782,1.0,0.9235308000944064,N/A,1.0,0.0678933469631144,1.0,N/A,0.0216372774512309,0.1268549545236955,0.9602421465968588,N/A,0.0408639813193228,0.9987437185929648,0.9235247836349332,N/A,0.9683794466403162,0.0677287442494462,1.0,N/A,0.0208723803032884,0.1271537970644543,0.9602453987730062,N/A,0.0410239306261986,1.0,0.9235308000944064,N/A,0.968503937007874,0.0678933469631144,1.0,N/A,0.0209557883976488,4.622674226760864,0.92,N/A,6.669228792190552
6a659,0.2284382284382284,0.967741935483871,0.2237762237762238,0.3749109052031361,1.0,0.9375,0.979591836734694,1.0,0.1289473684210526,1.0,0.1263157894736842,0.2307017543859649,0.2194552529182879,0.967714528462192,0.2116731517509727,0.3640256959314775,0.9657534246575342,0.937448559670782,0.9315068493150684,0.9732824427480916,0.1237928007023705,1.0,0.1194029850746268,0.2238805970149253,0.2284382284382284,0.967741935483871,0.216006216006216,0.3749109052031361,1.0,0.9375,0.9455782312925172,1.0,0.1289473684210526,1.0,0.1219298245614035,0.2307017543859649,1.2468483448028564,0.05,21.45588731765747,7.098645210266113
6ahuz,0.2510865931126713,0.9577954774329396,0.06039273805113,0.1176682259805685,1.0,0.9190091356289528,0.9760479041916168,1.0,0.1435671955649015,1.0,0.0311603899827948,0.062511948002294,0.2321070234113712,0.957787748374691,0.0552260934025203,0.1162706983441324,0.9253333333333332,0.9189949042347566,0.8975903614457831,0.99079754601227,0.1326959847036329,1.0,0.0284894837476099,0.0617590822179732,0.2510865931126713,0.9577954774329396,0.0600222304557243,0.1176682259805685,1.0,0.9190091356289528,0.9700598802395208,1.0,0.1435671955649015,1.0,0.0309692219460906,0.062511948002294,4.753396511077881,0.28,40.25414633750916,7.215868949890137
6akt6,0.5029781601588352,0.9570552147239264,0.1642394822006472,0.2068965517241379,1.0,0.9176470588235294,0.9666666666666668,1.0,0.3359858532272325,1.0,0.0897435897435897,0.1153846153846153,0.5026490066225165,0.9570370370370372,0.1530364372469635,0.2015073383577945,1.0,0.9176136363636364,0.9043062200956936,0.9769230769230768,0.3356921716054843,1.0,0.0835913312693498,0.1123396727111897,0.5029781601588352,0.9570552147239264,0.1440129449838187,0.2068965517241379,1.0,0.9176470588235294,0.8476190476190476,1.0,0.3359858532272325,1.0,0.0786914235190097,0.1153846153846153,4.81003737449646,0.09,48.41806173324585,2.586505174636841
